ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001415889-24-003263	1644682	Stock Option (Right to Buy)		46.94					F4	21-FEB-2033		Common Stock		2500.0				2500.0				D			
0001415889-24-003263	1644685	Stock Option (Right to Buy)		37.4					F7	18-FEB-2030		Common Stock		2000.0				2000.0				D			
0001415889-24-003263	1644687	Stock Option (Right to Buy)		37.31					F9	16-JAN-2028		Common Stock		2000.0				2000.0				D			
0001415889-24-003261	1644616	Stock Option (Right to Buy)		37.31					F10	16-JAN-2028		Common Stock		2000.0				2000.0				D			
0001415889-24-003261	1644615	Stock Option (Right to Buy)		34.35					F9	04-JAN-2029		Common Stock		2000.0				2000.0				D			
0001415889-24-003261	1644614	Stock Option (Right to Buy)		37.4					F8	18-FEB-2030		Common Stock		2000.0				2000.0				D			
0001415889-24-003261	1644613	Stock Option (Right to Buy)		34.91					F7	10-FEB-2031		Common Stock		3000.0				3000.0				D			
0001415889-24-003261	1644612	Stock Option (Right to Buy)		53.82					F6	03-FEB-2032		Common Stock		1500.0				1500.0				D			
0001415889-24-003261	1644611	Stock Option (Right to Buy)		46.94					F5	21-FEB-2033		Common Stock		1500.0				1500.0				D			
0001127602-24-004359	1644671	Stock Option		32.3					F7	18-MAY-2029		Common Stock		1000.0				1000.0				D			
0001127602-24-004359	1644670	Stock Option		38.78					F6	19-MAY-2028		Common Stock		1000.0				1000.0				D			
0001127602-24-004359	1644669	Stock Option		21.55					F5	27-MAY-2027		Common Stock		1000.0				1000.0				D			
0001127602-24-004359	1644668	Stock Option		38.93					F4	15-MAY-2026		Common Stock		1000.0				1000.0				D			
0001127602-24-004359	1644667	Stock Option		45.65					F3	15-MAY-2025		Common Stock		750.0				750.0				D			
0001127602-24-004359	1644672	Stock Option		24.91					F8	24-MAY-2030		Common Stock		2000.0				2000.0				D			
0001127602-24-004359	1644666	Stock Option		38.88					F2	16-MAY-2024		Common Stock		750.0				750.0				D			
0001415889-24-003255	1644243	Stock Option (Right to Buy)		46.94					F4	21-FEB-2033		Common Stock		2500.0				2500.0				D			
0001415889-24-003255	1644244	Stock Option (Right to Buy)		53.82					F5	03-FEB-2032		Common Stock		1500.0				1500.0				D			
0001415889-24-003255	1644245	Stock Option (Right to Buy)		34.91					F6	10-FEB-2031		Common Stock		3000.0				3000.0				D			
0001415889-24-003255	1644246	Stock Option (Right to Buy)		37.4					F7	18-FEB-2030		Common Stock		2000.0				2000.0				D			
0001415889-24-003255	1644247	Stock Option (Right to Buy)		34.35					F8	04-JAN-2029		Common Stock		2000.0				2000.0				D			
0001415889-24-003255	1644248	Stock Option (Right to Buy)		37.31					F9	16-JAN-2028		Common		2000.0				2000.0				D			
0001415889-24-003253	1644026	Stock Option (Right to Buy)		34.35					F8	04-JAN-2029		Common Stock		2000.0				2000.0				D			
0001415889-24-003253	1644027	Stock Option (Right to Buy)		37.31					F9	16-JAN-2028		Common Stock		2000.0				2000.0				D			
0001415889-24-003253	1644025	Stock Option (Right to Buy)		37.4					F7	18-FEB-2030		Common Stock		2000.0				2000.0				D			
0001415889-24-003253	1644024	Stock Option (Right to Buy)		34.91					F6	10-FEB-2031		Common Stock		3000.0				3000.0				D			
0001415889-24-003253	1644023	Stock Option (Right to Buy)		53.82					F5	03-FEB-2032		Common Stock		1500.0				1500.0				D			
