ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-24-004288	1652117	Employee Stock Option (Right-to-Buy)		45.05				24-JAN-2020	F4	24-JAN-2029		Common Stock		41208.0				41208.0				D			
0001225208-24-004288	1652118	Employee Stock Option (Right-to-Buy)		48.35				24-JAN-2021	F4	24-JAN-2030		Common Stock		48309.0				48309.0				D			
0001225208-24-004288	1652119	Employee Stock Option (Right-to-Buy)		50.1				26-JAN-2018	F4	26-JAN-2027		Common Stock		23696.0				23696.0				D			
0001225208-24-004288	1652120	Employee Stock Option (Right-to-Buy)		51.89				27-JAN-2022	F4	27-JAN-2031		Common Stock		38376.0				38376.0				D			
0001225208-24-004288	1652121	Employee Stock Option (Right-to-Buy)		53.57				25-JAN-2019	F4	25-JAN-2028		Common Stock		21834.0				21834.0				D			
0001225208-24-004288	1652122	Employee Stock Option (Right-to-Buy)		68.17				24-JAN-2024	F5	24-JAN-2033		Common Stock		22312.0				22312.0				D			
0001225208-24-004288	1652123	Employee Stock Option (Right-to-Buy)		72.94				24-JAN-2023	F5	24-JAN-2032		Common Stock		21997.0				21997.0				D			
0001225208-24-004288	1652124	Employee Stock Option (Right-to-Buy)		77.72				26-JAN-2025	F5	26-JAN-2034		Common Stock		24774.0				24774.0				D			
0001225208-24-004288	1652125	Restricted Stock Units		0.0	F6			24-JAN-2023	F7	24-JAN-2025		Common Stock		1113.86				1113.86	F8			D			
0001225208-24-004288	1652126	Restricted Stock Units		0.0	F6			24-JAN-2024	F7	24-JAN-2026		Common Stock		2502.25				2502.25	F8			D			
0001225208-24-004288	1652127	Restricted Stock Units		0.0	F6			26-JAN-2025	F7	26-JAN-2027		Common Stock		4152.91				4152.91				D			
0001225208-24-004287	1652027	Employee Stock Option (Right-to-Buy)		72.94				24-JAN-2023	F6	24-JAN-2032		Common Stock		11636.0				11636.0				D			
0001225208-24-004287	1652031	Restricted Stock Units		0.0	F7			26-JAN-2025	F8	26-JAN-2027		Common Stock		1664.37				1664.37				D			
0001225208-24-004287	1652030	Restricted Stock Units		0.0	F7			24-JAN-2024	F8	24-JAN-2026		Common Stock		1204.15				1204.15	F9			D			
0001225208-24-004287	1652029	Restricted Stock Units		0.0	F7			24-JAN-2023	F8	24-JAN-2025		Common Stock		589.78				589.78	F9			D			
0001225208-24-004287	1652023	Employee Stock Option (Right-to-Buy)		50.1				26-JAN-2018	F5	26-JAN-2027		Common Stock		23696.0				23696.0				D			
0001225208-24-004287	1652024	Employee Stock Option (Right-to-Buy)		51.89				27-JAN-2022	F5	27-JAN-2031		Common Stock		19520.0				19520.0				D			
0001225208-24-004287	1652025	Employee Stock Option (Right-to-Buy)		53.57				25-JAN-2019	F5	25-JAN-2028		Common Stock		21834.0				21834.0				D			
0001225208-24-004287	1652026	Employee Stock Option (Right-to-Buy)		68.17				24-JAN-2024	F6	24-JAN-2033		Common Stock		10730.0				10730.0				D			
0001225208-24-004287	1652028	Employee Stock Option (Right-to-Buy)		77.72				26-JAN-2025	F6	26-JAN-2034		Common Stock		9928.0				9928.0				D			
0000950170-24-032854	1652060	Stock Options (right to buy)		5.4				01-MAR-2023		18-MAR-2030		Common Stock		513228.0				513228.0				D			
0000950170-24-032854	1652061	Stock Options (right to buy)		15.17				01-MAR-2024		17-MAR-2031		Common Stock		290994.0				290994.0				D			
0000950170-24-032854	1652062	Stock Options (right to buy)		15.07				01-MAR-2025		16-MAR-2032		Common Stock		263119.0				263119.0				D			
0001213900-24-023505	1652032	Non-Qualified Stock Options		0.07				12-FEB-2020		12-NOV-2028		Common Stock, par value $.001 per share			F4			3500000.0				I		See Footnote	F4
0001750219-24-000011	1651987	OPTIONS		0.01				12-JAN-2024		12-JAN-2029		COMMON		5000000.0				5000000.0				D			
0001750219-24-000011	1651988	OPTIONS		0.01				12-JUL-2024		12-JAN-2029		COMMON		5000000.0				10000000.0	F2			D			
0001750219-24-000011	1651986	WARRANTS		0.01				30-MAY-2022		30-MAY-2027		COMMON		25000000.0				25000000.0	F1			D			
0000752642-24-000022	1651997	UMH Properties, Inc.		15.8				10-JAN-2025		10-JAN-2034		UMH Properties, Inc.		11000.0				11000.0				D			
0000752642-24-000022	1651998	UMH Properties, Inc.		14.36				21-MAR-2024		21-MAR-2033		UMH Properties, Inc.		10000.0				10000.0				D			
0000824142-24-000085	1651990	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		64560.0				64560.0				D			
0000824142-24-000085	1651991	Stock Option (Right to Buy)		31.69				12-MAY-2021		12-MAY-2030		Common Stock		58950.0				58950.0				D			
0000824142-24-000085	1651992	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		47191.0				47191.0				D			
0000824142-24-000085	1651993	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		42843.0				42843.0				D			
0000824142-24-000085	1651994	Stock Option (Right to Buy)		62.03				06-MAR-2024		06-MAR-2033		Common Stock		31968.0				31968.0				D			
0000824142-24-000085	1651995	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		22338.0				22338.0				D			
0000824142-24-000085	1651989	Stock Option (Right to Buy)		27.58				11-MAR-2020		11-MAR-2029		Common Stock		28200.0				28200.0				D			
0000824142-24-000083	1652096	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		3126.0				3126.0				D			
0000824142-24-000083	1652090	Stock Option (Right to Buy)		21.58				23-OCT-2019		23-OCT-2028		Common Stock		7302.0				7302.0				D			
0000824142-24-000083	1652091	Stock Option (Right to Buy)		27.58				11-MAR-2020		11-MAR-2029		Common Stock		44250.0				44250.0				D			
0000824142-24-000083	1652092	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		15780.0				15780.0				D			
0000824142-24-000083	1652095	Stock Option (Right to Buy)		62.04				06-MAR-2024		06-MAR-2033		Common Stock		4261.0				4261.0				D			
0000824142-24-000083	1652094	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		5670.0				5670.0				D			
0000824142-24-000083	1652093	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		6106.0				6106.0				D			
0000824142-24-000081	1652003	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		3798.0				3798.0				D			
0000824142-24-000081	1652002	Stock Option (Right to Buy)		62.04				06-MAR-2024		06-MAR-2033		Common Stock		2984.0				2984.0				D			
0000824142-24-000081	1652001	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		5292.0				5292.0				D			
0000824142-24-000081	1651999	Stock Option (Right to Buy)		27.58				11-MAR-2020		11-MAR-2029		Common Stock		27300.0				27300.0				D			
0000824142-24-000081	1652000	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		12696.0				12696.0				D			
0000824142-24-000079	1652141	Stock Option (Right to Buy)		27.58				11-MAR-2020		11-MAR-2029		Common Stock		91500.0				91500.0				D			
0000824142-24-000079	1652142	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		41565.0				41565.0				D			
0000824142-24-000079	1652143	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		13482.0				13482.0				D			
0000824142-24-000079	1652144	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		8820.0				8820.0				D			
0000824142-24-000079	1652145	Stock Option (Right to Buy)		62.04				06-MAR-2024		06-MAR-2033		Common Stock		6394.0				6394.0				D			
0000824142-24-000079	1652146	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		4602.0				4602.0				D			
0000824142-24-000079	1652140	Stock Option (Right to Buy)		24.63				02-JAN-2019		02-JAN-2028		Common Stock		27850.0				27850.0				D			
0000824142-24-000077	1651976	Stock Option (Right to Buy)		62.03				06-MAR-2024		06-MAR-2033		Common Stock		9000.0				9000.0				D			
0000824142-24-000077	1651977	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		2235.0				2235.0				D			
0000824142-24-000077	1651975	Stock Option (Right to Buy)		38.01				02-SEP-2023		02-SEP-2032		Common Stock		2370.0				2370.0				D			
0000824142-24-000077	1651974	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		13351.0				13351.0				D			
0000824142-24-000077	1651973	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		7935.0				7935.0				D			
0000824142-24-000077	1651972	Stock Option (Right to Buy)		27.58				11-MAR-2020		11-MAR-2029		Common Stock		20475.0				20475.0				D			
0000824142-24-000077	1651971	Stock Option (Right to Buy)		24.5				28-FEB-2019		28-FEB-2028		Common Stock		8175.0				8175.0				D			
0000905148-24-000965	1652067	Warrants		0.81					F3, F6	13-NOV-2028		Class A Common Stock		1082921.0								I		See footnote	F4
0000905148-24-000965	1652068	Warrants		0.81					F3, F6	19-JAN-2029		Class A Common Stock		1732673.0								I		See footnote	F5
0000905148-24-000965	1652066	Warrants		0.81					F3, F6	06-NOV-2028		Class A Common Stock		3101433.0								I		See footnote	F4
0000905148-24-000965	1652065	Warrants		0.81					F3, F6	04-AUG-2028		Class A Common Stock		1500000.0								I		See footnote	F4
0000905148-24-000965	1652064	Senior Secured Convertible Notes due 2025		0.81					F3, F2	15-NOV-2025		Class A Common Stock		4950495.0								I		See footnote	F5
0000905148-24-000965	1652063	Senior Secured Convertible Notes due 2025		0.81					F3, F2	15-NOV-2025		Class A Common Stock		11944715.0								I		See footnote	F4
0000824142-24-000075	1652073	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		3126.0				3126.0				D			
0000824142-24-000075	1652071	Stock Option (Right to Buy)		35.41				30-MAY-2023		30-MAY-2032		Common Stock		1662.0				1662.0				D			
0000824142-24-000075	1652070	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		3108.0				3108.0				D			
0000824142-24-000075	1652069	Stock Option (Right to Buy)		42.97				07-JUN-2022		07-JUN-2031		Common Stock		2411.0				2411.0				D			
0000824142-24-000075	1652072	Stock Option (Right to Buy)		62.04				06-MAR-2024		06-MAR-2033		Common Stock		4261.0				4261.0				D			
0001213900-24-023480	1652034	Warrants		0.81	F8				F6	07-MAR-2029		Class A Common Stock		433168.0	F7							I		See Footnote	F1
0001213900-24-023480	1652033	Senior Secured Convertible Notes due 2025		0.81	F5				F2	13-NOV-2025	F3	Class A Common Stock		1237624.0	F4							I		See Footnote	F1
0000824142-24-000073	1652015	Stock Option (Right to Buy)		29.48				11-MAR-2021		11-MAR-2030		Common Stock		300.0				300.0				D			
0000824142-24-000073	1652016	Stock Option (Right to Buy)		48.91				11-MAR-2022		11-MAR-2031		Common Stock		549.0				549.0				D			
0000824142-24-000073	1652017	Stock Option (Right to Buy)		43.5				11-MAY-2022		11-MAY-2031		Common Stock		7231.0				7231.0				D			
0000824142-24-000073	1652018	Stock Option (Right to Buy)		36.13				15-MAR-2023		15-MAR-2032		Common Stock		2142.0				2142.0				D			
0000824142-24-000073	1652019	Stock Option (Right to Buy)		62.05				06-MAR-2024		06-MAR-2033		Common Stock		1777.0				1777.0				D			
0000824142-24-000073	1652020	Stock Option (Right to Buy)		79.73				11-MAR-2025		11-MAR-2034		Common Stock		1788.0				1788.0				D			
0001213900-24-023478	1652010	Senior Secured Convertible Notes due 2025		0.81	F4				F1	13-NOV-2025	F2	Class A Common Stock		247525.0	F3							D			
0000824142-24-000071	1652086	Stock Option (Right to Buy)		48.91				12-MAY-2022		11-MAR-2031		Common Stock		16429.0				16429.0				D			
0000824142-24-000071	1652080	Stock Option (Right to Buy)		15.71				12-MAY-2022		26-FEB-2025		Common Stock		57480.0				57480.0				D			
0000824142-24-000071	1652081	Stock Option (Right to Buy)		13.95				12-MAY-2022		26-JAN-2026		Common Stock		52485.0				52485.0				D			
0000824142-24-000071	1652082	Stock Option (Right to Buy)		22.93				12-MAY-2022		22-FEB-2027		Common Stock		53805.0				53805.0				D			
0000824142-24-000071	1652083	Stock Option (Right to Buy)		24.63				12-MAY-2022		02-JAN-2028		Common Stock		173550.0				173550.0				D			
0000824142-24-000071	1652084	Stock Option (Right to Buy)		27.58				12-MAY-2022		11-MAR-2029		Common Stock		285000.0				285000.0				D			
0000824142-24-000071	1652085	Stock Option (Right to Buy)		29.48				12-MAY-2022		11-MAR-2030		Common Stock		118320.0				118320.0				D			
0001707925-24-000088	1652097	Restricted Stock Units			F3				F3		F3	Ordinary Shares		1100.0				1100.0				D			
0001707925-24-000088	1652098	Restricted Stock Units			F4				F4		F4	Ordinary Shares		12711.1				12711.1				D			
0001707925-24-000088	1652110	Stock Option (right to buy)		118.71	F16			28-FEB-2018	F16	28-FEB-2027		Ordinary Shares		335850.0				335850.0				D			
0001707925-24-000088	1652099	Restricted Stock Units			F5				F5		F5	Ordinary Shares		12929.79				12929.79				D			
0001707925-24-000088	1652100	Restricted Stock Units			F6				F6		F6	Ordinary Shares		12670.0				12670.0				D			
0001707925-24-000088	1652101	Restricted Stock Units			F7				F7		F7	Ordinary Shares		27965.08				27965.08				D			
0001707925-24-000088	1652102	Restricted Stock Units			F8				F8		F8	Ordinary Shares		34649.74				34649.74				D			
0001707925-24-000088	1652103	Restricted Stock Units			F9				F9		F9	Ordinary Shares		50657.95				50657.95				D			
0001707925-24-000088	1652104	Restricted Stock Units			F10				F10		F10	Ordinary Shares		28832.75				28832.75				D			
0001707925-24-000088	1652105	Restricted Stock Units			F11				F11		F11	Ordinary Shares		29452.26				29452.26				D			
0001707925-24-000088	1652106	Stock Options		253.68	F12			08-MAR-2022	F12	08-MAR-2031		Ordinary Shares		133465.0				133465.0				D			
0001707925-24-000088	1652107	Stock Options		176.63	F13			20-MAR-2020	F13	20-MAR-2029		Ordinary Shares		177605.0				177605.0				D			
0001707925-24-000088	1652108	Stock Option (right to buy)		173.13	F14			09-MAR-2021	F14	09-MAR-2030		Ordinary Shares		169560.0				169560.0				D			
0001707925-24-000088	1652109	Stock Option (right to buy)		154.0	F15			27-FEB-2019	F15	27-FEB-2028		Ordinary Shares		318780.0				318780.0				D			
0001690001-24-000037	1652147	Phantom Stock			F2				F2		F2	NBT Bancorp Inc. Common Stock		20643.54				20643.54				D			
0001690001-24-000035	1652004	Phantom Stock			F2				F2		F2	NBT Bancorp Inc. Common Stock		7673.22				7673.22				D			
0001690001-24-000033	1652044	Phantom Stock			F2				F2		F2	NBT Bancorp Inc. Common Stock		4981.95				4981.95				D			
0001617242-24-000025	1652045	Stock Options		13.38				07-JAN-2020		07-JAN-2029		Common Stock		75000.0				75000.0				D			
0001617242-24-000025	1652046	Stock Options		15.35				01-DEC-2017		01-DEC-2026		Common Stock		75000.0				75000.0				D			
0001617242-24-000025	1652047	Stock Options		9.82				01-APR-2016		01-APR-2025		Common Stock		6902.0				6902.0				D			
0001617242-24-000023	1651996	Stock Options		13.55				15-SEP-2019		15-SEP-2028		Common Stock		100000.0				100000.0				D			
0001437749-24-008203	1651684	Stock Options		10.45				02-SEP-2022		02-SEP-2031		Common Stock		80500.0	F2			80500.0	F2			D			
0001290677-24-000031	1651703	Options (2020)		14.85					F1	18-MAR-2030		Common Stock		1386.0				1386.0				D			
0001290677-24-000031	1651705	Options (2022)		30.46					F3	14-MAR-2032		Common Stock		2500.0				2500.0				D			
0001290677-24-000031	1651704	Options (2021)		51.75					F2	18-FEB-2031		Common Stock		2100.0				2100.0				D			
0000950170-24-032542	1651663	American Depositary Shares			F1				F1		F1	Ordinary Shares		123.0				41.0				I		FIMM, LLC	
0000950170-24-032542	1651665	American Depositary Shares			F1				F1		F1	Ordinary Shares		96507.0				32169.0				I		F-Prime Capital Partners Life Sciences Fund VI LP	
0000950170-24-032542	1651664	American Depositary Shares			F1				F1		F1	Ordinary Shares		8199.0				2733.0				I		F-Prime Capital Partners Life Sciences Advisors Fund VI LP	
0001562088-24-000072	1651919	Class B Common Stock			F2				F2		F2	Class A Common Stock		43730.0				43730.0				D			
0001140361-24-013601	1651710	Restricted Stock Units			F1, F3				F3		F3	Common Stock		16666.0				16666.0				D			
0001140361-24-013601	1651709	Restricted Stock Units			F1, F2				F2		F2	Common Stock		6143.0				6143.0				D			
0001104659-24-035106	1651734	Restricted Stock Units			F2				F3		F3	Common Stock		1561.0				1561.0				D			
0000921638-24-000069	1651693	Performance Share Units			F2			07-MAR-2026			F2	Common Shares		6868.0								D			
0001415889-24-008144	1651660	Non-qualified stock options (right to buy)		65.03				28-FEB-2023	F5	28-FEB-2029		Common Stock		8094.0				8094.0				D			
0001415889-24-008144	1651659	Non-qualified stock options (right to buy)		56.25				19-MAR-2022	F4	19-MAR-2028		Common Stock		9681.0				9681.0				D			
0001415889-24-008144	1651658	Non-qualified stock options (right to buy)		37.71				26-FEB-2021	F3	26-FEB-2027		Common Stock		16722.0				16722.0				D			
0001415889-24-008144	1651657	Non-qualified stock options (right to buy)		55.73				01-MAR-2020	F2	01-MAR-2026		Common Stock		30000.0				30000.0				D			
0001415889-24-008144	1651661	Non-qualified stock options (right to buy)		70.58				28-FEB-2024	F6	28-FEB-2030		Common Stock		13576.0				13576.0				D			
0001415889-24-008144	1651656	Non-qualified stock options (right to buy)		44.8				02-MAR-2019	F1	02-MAR-2025		Common Stock		25000.0				25000.0				D			
0001127602-24-010303	1651681	Non-qualified Stock Option (Right to Buy)	F1	58.51				27-JAN-2023		27-JAN-2032		Common Stock		13800.0								D			
0001127602-24-010303	1651682	Non-qualified Stock Option (Right to Buy)	F1	55.47				26-JAN-2024		26-JAN-2033		Common Stock		15000.0								D			
0001127602-24-010303	1651683	Non-qualified Stock Option (Right to Buy)	F1	49.7				25-JAN-2025		25-JAN-2034		Common Stock		15300.0								D			
0001127602-24-010303	1651676	Non-qualified Stock Option (Right to Buy)	F1	57.18				26-JAN-2018		26-JAN-2027		Common Stock		14400.0								D			
0001127602-24-010303	1651677	Non-qualified Stock Option (Right to Buy)	F1	62.16				25-JAN-2019		25-JAN-2028		Common Stock		14200.0								D			
0001127602-24-010303	1651678	Non-qualified Stock Option (Right to Buy)	F1	62.67				24-JAN-2020		24-JAN-2029		Common Stock		14400.0								D			
0001127602-24-010303	1651679	Non-qualified Stock Option (Right to Buy)	F1	66.41				23-JAN-2021		23-JAN-2030		Common Stock		13300.0								D			
0001127602-24-010303	1651680	Non-qualified Stock Option (Right to Buy)	F1	57.08				28-JAN-2022		28-JAN-2031		Common Stock		11600.0								D			
0001062993-24-006527	1651624	0.875% Convertible Senior Notes due 2027			F4			31-DEC-2021		01-JAN-2027		Common Stock		49939.0								I		See Footnotes	F3, F2
0001062993-24-006527	1651623	0.875% Convertible Senior Notes due 2027			F4			31-DEC-2021		01-JAN-2027		Common Stock		44307.0								I		See Footnotes	F1, F3
0000897069-24-000686	1651621	Stock Option (right to buy)		3000.0					F4	04-JAN-2026		Common Stock		14.0	F2			14.0	F2			D			
0000897069-24-000686	1651619	Stock Option (right to buy)		35.7					F4	28-OCT-2031		Common Stock		29167.0	F2			29167.0	F2			D			
0000897069-24-000686	1651618	Stock Option (right to buy)		4.51					F3	20-APR-2033		Common Stock		41667.0	F2			41667.0	F2			D			
0000897069-24-000686	1651620	Stock Option (right to buy)		300.0					F4	29-MAY-2028		Common Stock		83.0	F2			83.0	F2			D			
0001437749-24-008137	1651894	Stock Options		10.45				02-SEP-2022		02-SEP-2031		Common Stock		32235.0	F2			32235.0	F2			D			
0001209191-24-004862	1651662	Stock Option (Right to Buy)		2.21					F1	20-FEB-2034		Common Stock		44000.0				44000.0				D			
0000950170-24-032274	1651773	Class B Common Stock			F22				F22		F22	Class A Common Stock		1961668.0				1961668.0				I		Shares owned by LLC	F23
0001482981-24-000042	1651792	Non-Qualified Stock Option (right to buy)		10.18					F3	10-FEB-2030		Common Stock		113750.0				113750.0				D			
0001482981-24-000042	1651793	Non-Qualified Stock Option (right to buy)		10.18					F4	11-JAN-2031		Common Stock		27300.0				27300.0				D			
0001482981-24-000042	1651794	Non-Qualified Stock Option (right to buy)		15.0					F5	21-OCT-2031		Common Stock		58043.0				58043.0				D			
0001482981-24-000042	1651795	Non-Qualified Stock Option (right to buy)		15.36					F6	15-AUG-2032		Common Stock		42980.0				42980.0				D			
0001482981-24-000042	1651796	Non-Qualified Stock Option (right to buy)		16.91					F7	10-MAR-2033		Common Stock		14205.0				14205.0				D			
0001482981-24-000042	1651797	Non-Qualified Stock Option (right to buy)		26.18					F8	04-MAR-2034		Common Stock		8746.0				8746.0				D			
0001482981-24-000042	1651791	Non-Qualified Stock Option (right to buy)		10.18					F2	16-DEC-2029		Common Stock		39675.0				39675.0				D			
0001482981-24-000041	1651649	Non-Qualified Stock Option (right to buy)		10.18					F2	01-JUN-2031		Common Stock		4550.0				4550.0				D			
0001482981-24-000041	1651651	Non-Qualified Stock Option (right to buy)		26.18					F4	04-MAR-2034		Common Stock		3803.0				3803.0				D			
0001482981-24-000041	1651650	Non-Qualified Stock Option (right to buy)		16.91					F3	10-MAR-2033		Common Stock		10653.0				10653.0				D			
0001482981-24-000040	1651690	Non-Qualified Stock Option (right to buy)		16.91					F7	10-MAR-2033		Common Stock		14205.0				14205.0				D			
0001482981-24-000040	1651689	Non-Qualified Stock Option (right to buy)		15.36					F6	15-AUG-2032		Common Stock		42980.0				42980.0				D			
0001482981-24-000040	1651688	Non-Qualified Stock Option (right to buy)		15.0					F5	21-OCT-2031		Common Stock		45605.0				45605.0				D			
0001482981-24-000040	1651687	Non-Qualified Stock Option (right to buy)		10.18					F4	11-JAN-2031		Common Stock		27300.0				27300.0				D			
0001482981-24-000040	1651686	Non-Qualified Stock Option (right to buy)		10.18					F3	10-FEB-2030		Common Stock		113750.0				113750.0				D			
0001482981-24-000040	1651685	Non-Qualified Stock Option (right to buy)		10.18					F2	16-DEC-2029		Common Stock		3675.0				3675.0				D			
0001482981-24-000040	1651691	Non-Qualified Stock Option (right to buy)		26.18					F8	04-MAR-2034		Common Stock		8746.0				8746.0				D			
0001482981-24-000039	1651674	Non-Qualified Stock Option (right to buy)		16.91					F7	10-MAR-2033		Common Stock		14205.0				14205.0				D			
0001482981-24-000039	1651675	Non-Qualified Stock Option (right to buy)		26.18					F8	04-MAR-2034		Common Stock		8746.0				8746.0				D			
0001482981-24-000039	1651673	Non-Qualified Stock Option (right to buy)		15.36					F6	15-AUG-2032		Common Stock		42980.0				42980.0				D			
0001482981-24-000039	1651672	Non-Qualified Stock Option (right to buy)		15.0					F5	21-OCT-2031		Common Stock		58043.0				58043.0				D			
0001482981-24-000039	1651671	Non-Qualified Stock Option (right to buy)		10.18					F4	11-JAN-2031		Common Stock		34125.0				34125.0				D			
0001482981-24-000039	1651670	Non-Qualified Stock Option (right to buy)		10.18					F3	10-FEB-2030		Common Stock		222950.0				222950.0				D			
0001482981-24-000039	1651669	Non-Qualified Stock Option (right to buy)		10.18					F2	16-DEC-2029		Common Stock		108825.0				108825.0				D			
0001482981-24-000038	1651652	Non-Qualified Stock Option (right to buy)		16.91					F2	10-MAR-2033		Common Stock		14205.0				14205.0				D			
0001482981-24-000038	1651653	Non-Qualified Stock Option (right to buy)		24.35					F3	10-MAY-2033		Common Stock		13481.0				13481.0				D			
0001482981-24-000038	1651654	Non-Qualified Stock Option (right to buy)		26.18					F4	04-MAR-2034		Common Stock		8746.0				8746.0				D			
0001482981-24-000038	1651655	Non-Qualified Stock Option (right to buy)		27.59					F3	07-AUG-2033		Common Stock		11547.0				11547.0				D			
0000950170-24-032252	1651668	Restricted Stock Units			F3				F3		F3	Common Stock		710.0								D			
0000950170-24-032252	1651666	Restricted Stock Units			F1				F1		F1	Common Stock		455.0								D			
0000950170-24-032252	1651667	Restricted Stock Units			F2				F2		F2	Common Stock		565.0								D			
0000950170-24-032245	1651622	Stock Option (Right to Buy)		9.55					F2	30-MAY-2028		Common Stock		4866785.0								D			
0000950170-24-032237	1651695	Performance Based Restricted		0.0					F3		F3	Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651694	Performance Based Restricted		0.0					F2		F2	Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651700	Stock Options (Right to Buy)		10.18				01-MAR-2023	F5	29-FEB-2032		Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651701	Stock Options (Right to Buy)		6.15				01-MAR-2024	F5	28-FEB-2033		Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651702	Stock Options (Right to Buy)		2.87				01-MAR-2025	F5	28-FEB-2034		Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651697	Stock Options (Right to Buy)		4.99				01-MAR-2020		28-FEB-2029		Common Stock		5000.0				5000.0				D			
0000950170-24-032237	1651696	Performance Based Restricted		0.0					F4		F4	Common Stock		30000.0				30000.0				D			
0000950170-24-032237	1651699	Stock Options (Right to Buy)		8.81				01-MAR-2022		28-FEB-2031		Common Stock		20000.0				20000.0				D			
0000950170-24-032237	1651698	Stock Options (Right to Buy)		4.93				01-MAR-2021		28-FEB-2030		Common Stock		20000.0				20000.0				D			
0001415889-24-008118	1651636	Class B Common Stock			F1				F1		F1	Class A Common Stock		7379835.0				7379835.0				I		By Trust	F8
0001562180-24-002717	1651708	Class B Common Stock			F6				F6		F6	Class A Common Stock			F6			500500.0				I		See Footnote	F9
0001562180-24-002717	1651707	Class B Common Stock			F6				F6		F6	Class A Common Stock			F6			7743764.0				I		See Footnote	F5
0001562180-24-002717	1651706	Class B Common Stock			F6				F6		F6	Class A Common Stock			F6			70679629.0				I		See Footnote	F7, F8
0001855763-24-000002	1651711	Stock Options		2.93				15-MAR-2024	F1	15-MAR-2029		Common Shares		200000.0								D			
0001225208-24-004261	1651927	Stock Option		95.74					F8	27-FEB-2034		Common Stock		6306.0				6306.0				D			
0001225208-24-004261	1651925	Stock Option		69.41					F6	23-FEB-2032		Common Stock		18871.0				18871.0				D			
0001225208-24-004261	1651926	Stock Option		78.28					F7	28-FEB-2033		Common Stock		14225.0				14225.0				D			
0001637459-24-000057	1651638	Stock Options (right to buy)		38.68				01-MAR-2025	F4	01-MAR-2032		Common Stock		724.0								D			
0001637459-24-000057	1651637	Stock Options (right to buy)		37.09				01-MAR-2024	F3	01-MAR-2031		Common Stock		561.0								D			
0000008063-24-000015	1651628	Option		30.04				09-DEC-2020		09-DEC-2029		$.01 PV Com Stk		18150.0				18150.0				D			
0000008063-24-000015	1651627	Option		31.57				13-DEC-2019		13-DEC-2028		$.01 PV Com Stk		12360.0				12360.0				D			
0000008063-24-000015	1651626	Option		35.61				12-DEC-2018		12-DEC-2027		$.01 PV CL B STK		1208.0				1208.0				D			
0000008063-24-000015	1651625	Option		35.61				12-DEC-2018		12-DEC-2027		$.01 PV Com Stk		8050.0				8050.0				D			
